,block,RT,image,position,response,order,environment,condition,location,binary,label,group
19413,10,550,microwave03,23,-1,5,microwave,a,indoor,0,microwave,big
19414,11,688,lamp22,4,1,5,lamp,a,indoor,1,lamp,small
19415,12,497,lamp16,10,1,5,lamp,a,indoor,1,lamp,small
19416,13,1121,lamp11,15,1,5,lamp,a,indoor,1,lamp,small
19417,14,486,lamp13,13,1,5,lamp,a,indoor,1,lamp,small
19418,15,292,lamp05,21,-1,5,lamp,a,indoor,0,lamp,small
19419,16,131,firealarm21,5,-1,5,firealarm,a,indoor,0,firealarm,small
19420,17,851,firealarm04,22,1,5,firealarm,a,indoor,1,firealarm,small
19421,18,394,firealarm17,9,1,5,firealarm,a,indoor,1,firealarm,small
19422,19,866,firealarm20,6,1,5,firealarm,a,indoor,1,firealarm,small
19423,20,911,firealarm14,12,-1,5,firealarm,a,indoor,0,firealarm,small
19424,21,389,candle03,23,-1,5,candle,a,indoor,0,candle,small
19425,22,43,candle21,5,1,5,candle,a,indoor,1,candle,small
19426,23,680,candle14,12,-1,5,candle,a,indoor,0,candle,small
19427,24,1045,candle08,18,-1,5,candle,a,indoor,0,candle,small
19428,25,498,candle10,16,-1,5,candle,a,indoor,0,candle,small
19429,26,46,vase07,19,1,5,vase,a,indoor,1,vase,small
19430,27,334,vase02,24,-1,5,vase,a,indoor,0,vase,small
19431,28,207,vase18,8,-1,5,vase,a,indoor,0,vase,small
19432,29,461,vase06,20,1,5,vase,a,indoor,1,vase,small
19433,30,579,vase23,3,1,5,vase,a,indoor,1,vase,small
19434,31,140,kettle09,17,-1,5,kettle,a,indoor,0,kettle,small
19435,32,823,kettle21,5,1,5,kettle,a,indoor,1,kettle,small
19436,33,641,kettle16,10,1,5,kettle,a,indoor,1,kettle,small
19437,34,571,kettle08,18,-1,5,kettle,a,indoor,0,kettle,small
19438,35,231,kettle24,2,-1,5,kettle,a,indoor,0,kettle,small
19439,36,602,dvdplayer18,8,-1,5,dvdplayer,a,indoor,0,dvdplayer,big
19440,37,179,dvdplayer07,19,-1,5,dvdplayer,a,indoor,0,dvdplayer,big
19441,38,872,dvdplayer08,18,-1,5,dvdplayer,a,indoor,0,dvdplayer,big
19442,39,652,dvdplayer22,4,-1,5,dvdplayer,a,indoor,0,dvdplayer,big
19443,40,616,dvdplayer25,1,-1,5,dvdplayer,a,indoor,0,dvdplayer,big
19444,41,369,mouse20,6,1,5,mouse,a,indoor,1,mouse,small
19445,42,44,mouse23,3,1,5,mouse,a,indoor,1,mouse,small
19446,43,657,mouse12,14,-1,5,mouse,a,indoor,0,mouse,small
19447,44,476,mouse19,7,1,5,mouse,a,indoor,1,mouse,small
19448,45,185,mouse21,5,-1,5,mouse,a,indoor,0,mouse,small
19449,46,257,pottedplant20,6,1,5,pottedplant,a,indoor,1,pottedplant,small
19450,47,758,pottedplant17,9,-1,5,pottedplant,a,indoor,0,pottedplant,small
19451,48,397,pottedplant01,25,-1,5,pottedplant,a,indoor,0,pottedplant,small
19452,49,152,pottedplant11,15,1,5,pottedplant,a,indoor,1,pottedplant,small
19453,50,93,pottedplant13,13,1,5,pottedplant,a,indoor,1,pottedplant,small
19454,51,700,pitchfork06,20,1,5,pitchfork,a,outdoor,1,pitchfork,small
19455,52,246,pitchfork11,15,1,5,pitchfork,a,outdoor,1,pitchfork,small
19456,53,263,pitchfork02,24,-1,5,pitchfork,a,outdoor,0,pitchfork,small
19457,54,600,pitchfork25,1,1,5,pitchfork,a,outdoor,1,pitchfork,small
19458,55,273,pitchfork24,2,-1,5,pitchfork,a,outdoor,0,pitchfork,small
19459,56,637,bird21,5,-1,5,bird,a,outdoor,0,bird,small
19460,57,633,bird22,4,-1,5,bird,a,outdoor,0,bird,small
19461,58,1043,bird12,14,1,5,bird,a,outdoor,1,bird,small
19462,59,351,bird03,23,-1,5,bird,a,outdoor,0,bird,small
19463,60,1743,bird07,19,-1,5,bird,a,outdoor,0,bird,small
19464,61,688,mailbox01,25,1,5,mailbox,a,outdoor,1,mailbox,small
19465,62,452,mailbox16,10,-1,5,mailbox,a,outdoor,0,mailbox,small
19466,63,287,mailbox04,22,-1,5,mailbox,a,outdoor,0,mailbox,small
19467,64,292,mailbox02,24,-1,5,mailbox,a,outdoor,0,mailbox,small
19468,65,605,mailbox24,2,1,5,mailbox,a,outdoor,1,mailbox,small
19469,66,223,frog17,9,-1,5,frog,a,outdoor,0,frog,small
19470,67,924,frog22,4,1,5,frog,a,outdoor,1,frog,small
19471,68,774,frog15,11,-1,5,frog,a,outdoor,0,frog,small
19472,69,220,frog19,7,1,5,frog,a,outdoor,1,frog,small
19473,70,522,frog06,20,1,5,frog,a,outdoor,1,frog,small
19474,71,714,cactus09,17,1,5,cactus,a,outdoor,1,cactus,big
19475,72,342,cactus24,2,-1,5,cactus,a,outdoor,0,cactus,big
19476,73,457,cactus23,3,-1,5,cactus,a,outdoor,0,cactus,big
19477,74,666,cactus21,5,-1,5,cactus,a,outdoor,0,cactus,big
19478,75,51,cactus08,18,1,5,cactus,a,outdoor,1,cactus,big
19479,76,878,bottle21,5,1,5,bottle,a,outdoor,1,bottle,big
19480,77,409,bottle14,12,-1,5,bottle,a,outdoor,0,bottle,big
19481,78,48,bottle19,7,1,5,bottle,a,outdoor,1,bottle,big
19482,79,580,bottle11,15,-1,5,bottle,a,outdoor,0,bottle,big
19483,80,1221,bottle18,8,1,5,bottle,a,outdoor,1,bottle,big
19484,81,362,ashtray13,13,-1,5,ashtray,a,outdoor,0,ashtray,small
19485,82,424,ashtray16,10,-1,5,ashtray,a,outdoor,0,ashtray,small
19486,83,752,ashtray05,21,-1,5,ashtray,a,outdoor,0,ashtray,small
19487,84,233,ashtray18,8,1,5,ashtray,a,outdoor,1,ashtray,small
19488,85,284,ashtray23,3,-1,5,ashtray,a,outdoor,0,ashtray,small
19489,86,267,mug06,20,-1,5,mug,a,outdoor,0,mug,small
19490,87,120,mug12,14,-1,5,mug,a,outdoor,0,mug,small
19491,88,384,mug03,23,-1,5,mug,a,outdoor,0,mug,small
19492,89,1357,mug25,1,-1,5,mug,a,outdoor,0,mug,small
19493,90,657,mug17,9,-1,5,mug,a,outdoor,0,mug,small
19494,91,251,axe16,10,-1,5,axe,a,outdoor,0,axe,small
19495,92,825,axe07,19,1,5,axe,a,outdoor,1,axe,small
19496,93,313,axe22,4,-1,5,axe,a,outdoor,0,axe,small
19497,94,461,axe06,20,1,5,axe,a,outdoor,1,axe,small
19498,95,2,axe19,7,-1,5,axe,a,outdoor,0,axe,small
19499,96,426,package04,22,-1,5,package,a,outdoor,0,package,small
19500,97,69,package01,25,1,5,package,a,outdoor,1,package,small
19501,98,548,package12,14,-1,5,package,a,outdoor,0,package,small
19502,99,343,package10,16,-1,5,package,a,outdoor,0,package,small
19503,100,880,package24,2,1,5,package,a,outdoor,1,package,small
19504,1,1409,soap14,12,1,5,soap,a,indoor,1,soap,small
19505,2,477,soap02,24,-1,5,soap,a,indoor,0,soap,small
19506,3,426,soap07,19,-1,5,soap,a,indoor,0,soap,small
19507,4,288,soap01,25,-1,5,soap,a,indoor,0,soap,small
19508,5,413,soap08,18,1,5,soap,a,indoor,1,soap,small
19509,6,400,microwave12,14,1,5,microwave,a,indoor,1,microwave,big
19510,7,843,microwave15,11,1,5,microwave,a,indoor,1,microwave,big
19511,8,650,microwave09,17,1,5,microwave,a,indoor,1,microwave,big
19512,9,432,microwave19,7,1,5,microwave,a,indoor,1,microwave,big
19513,10,589,microwave03,23,1,5,microwave,a,indoor,1,microwave,big
19514,11,343,lamp22,4,1,5,lamp,a,indoor,1,lamp,small
19515,12,690,lamp16,10,1,5,lamp,a,indoor,1,lamp,small
19516,13,670,lamp11,15,-1,5,lamp,a,indoor,0,lamp,small
19517,14,1161,lamp13,13,1,5,lamp,a,indoor,1,lamp,small
19518,15,549,lamp05,21,1,5,lamp,a,indoor,1,lamp,small
19519,16,1225,firealarm21,5,1,5,firealarm,a,indoor,1,firealarm,small
19520,17,688,firealarm04,22,1,5,firealarm,a,indoor,1,firealarm,small
19521,18,756,firealarm17,9,-1,5,firealarm,a,indoor,0,firealarm,small
19522,19,1579,firealarm20,6,-1,5,firealarm,a,indoor,0,firealarm,small
19523,20,590,firealarm14,12,-1,5,firealarm,a,indoor,0,firealarm,small
19524,21,913,candle03,23,1,5,candle,a,indoor,1,candle,small
19525,22,693,candle21,5,1,5,candle,a,indoor,1,candle,small
19526,23,1430,candle14,12,1,5,candle,a,indoor,1,candle,small
19527,24,319,candle08,18,1,5,candle,a,indoor,1,candle,small
19528,25,283,candle10,16,-1,5,candle,a,indoor,0,candle,small
19529,26,282,vase07,19,1,5,vase,a,indoor,1,vase,small
19530,27,1400,vase02,24,1,5,vase,a,indoor,1,vase,small
19531,28,557,vase18,8,1,5,vase,a,indoor,1,vase,small
19532,29,950,vase06,20,-1,5,vase,a,indoor,0,vase,small
19533,30,574,vase23,3,-1,5,vase,a,indoor,0,vase,small
19534,31,13,kettle09,17,1,5,kettle,a,indoor,1,kettle,small
19535,32,356,kettle21,5,1,5,kettle,a,indoor,1,kettle,small
19536,33,797,kettle16,10,-1,5,kettle,a,indoor,0,kettle,small
19537,34,467,kettle08,18,-1,5,kettle,a,indoor,0,kettle,small
19538,35,673,kettle24,2,-1,5,kettle,a,indoor,0,kettle,small
19539,36,243,dvdplayer18,8,-1,5,dvdplayer,a,indoor,0,dvdplayer,big
19540,37,1865,dvdplayer07,19,1,5,dvdplayer,a,indoor,1,dvdplayer,big
19541,38,1407,dvdplayer08,18,-1,5,dvdplayer,a,indoor,0,dvdplayer,big
19542,39,1105,dvdplayer22,4,-1,5,dvdplayer,a,indoor,0,dvdplayer,big
19543,40,631,dvdplayer25,1,1,5,dvdplayer,a,indoor,1,dvdplayer,big
19544,41,481,mouse20,6,-1,5,mouse,a,indoor,0,mouse,small
19545,42,928,mouse23,3,-1,5,mouse,a,indoor,0,mouse,small
19546,43,1806,mouse12,14,-1,5,mouse,a,indoor,0,mouse,small
19547,44,232,mouse19,7,1,5,mouse,a,indoor,1,mouse,small
19548,45,929,mouse21,5,1,5,mouse,a,indoor,1,mouse,small
19549,46,805,pottedplant20,6,1,5,pottedplant,a,indoor,1,pottedplant,small
19550,48,1501,pottedplant01,25,-1,5,pottedplant,a,indoor,0,pottedplant,small
19551,49,230,pottedplant11,15,-1,5,pottedplant,a,indoor,0,pottedplant,small
19552,50,1390,pottedplant13,13,1,5,pottedplant,a,indoor,1,pottedplant,small
19553,51,406,pitchfork06,20,-1,5,pitchfork,a,outdoor,0,pitchfork,small
19554,52,369,pitchfork11,15,1,5,pitchfork,a,outdoor,1,pitchfork,small
19555,53,450,pitchfork02,24,-1,5,pitchfork,a,outdoor,0,pitchfork,small
19556,54,701,pitchfork25,1,1,5,pitchfork,a,outdoor,1,pitchfork,small
19557,55,2021,pitchfork24,2,-1,5,pitchfork,a,outdoor,0,pitchfork,small
19558,56,473,bird21,5,1,5,bird,a,outdoor,1,bird,small
19559,57,220,bird22,4,-1,5,bird,a,outdoor,0,bird,small
19560,58,183,bird12,14,-1,5,bird,a,outdoor,0,bird,small
19561,59,1132,bird03,23,1,5,bird,a,outdoor,1,bird,small
19562,60,573,bird07,19,1,5,bird,a,outdoor,1,bird,small
19563,61,725,mailbox01,25,1,5,mailbox,a,outdoor,1,mailbox,small
19564,62,421,mailbox16,10,1,5,mailbox,a,outdoor,1,mailbox,small
19565,63,1025,mailbox04,22,1,5,mailbox,a,outdoor,1,mailbox,small
19566,64,373,mailbox02,24,-1,5,mailbox,a,outdoor,0,mailbox,small
19567,65,1340,mailbox24,2,-1,5,mailbox,a,outdoor,0,mailbox,small
19568,66,237,frog17,9,-1,5,frog,a,outdoor,0,frog,small
19569,67,1158,frog22,4,1,5,frog,a,outdoor,1,frog,small
19570,68,103,frog15,11,-1,5,frog,a,outdoor,0,frog,small
19571,69,275,frog19,7,1,5,frog,a,outdoor,1,frog,small
19572,70,166,frog06,20,-1,5,frog,a,outdoor,0,frog,small
19573,71,217,cactus09,17,-1,5,cactus,a,outdoor,0,cactus,big
19574,72,538,cactus24,2,-1,5,cactus,a,outdoor,0,cactus,big
19575,73,304,cactus23,3,-1,5,cactus,a,outdoor,0,cactus,big
19576,74,658,cactus21,5,-1,5,cactus,a,outdoor,0,cactus,big
19577,75,238,cactus08,18,-1,5,cactus,a,outdoor,0,cactus,big
19578,76,207,bottle21,5,1,5,bottle,a,outdoor,1,bottle,big
19579,77,601,bottle14,12,-1,5,bottle,a,outdoor,0,bottle,big
19580,78,556,bottle19,7,1,5,bottle,a,outdoor,1,bottle,big
19581,79,251,bottle11,15,-1,5,bottle,a,outdoor,0,bottle,big
19582,80,541,bottle18,8,1,5,bottle,a,outdoor,1,bottle,big
19583,82,200,ashtray16,10,-1,5,ashtray,a,outdoor,0,ashtray,small
19584,83,333,ashtray05,21,-1,5,ashtray,a,outdoor,0,ashtray,small
19585,84,382,ashtray18,8,-1,5,ashtray,a,outdoor,0,ashtray,small
19586,85,497,ashtray23,3,1,5,ashtray,a,outdoor,1,ashtray,small
19587,86,507,mug06,20,1,5,mug,a,outdoor,1,mug,small
19588,87,1041,mug12,14,-1,5,mug,a,outdoor,0,mug,small
19589,88,575,mug03,23,-1,5,mug,a,outdoor,0,mug,small
19590,89,483,mug25,1,-1,5,mug,a,outdoor,0,mug,small
19591,90,1050,mug17,9,1,5,mug,a,outdoor,1,mug,small
19592,91,227,axe16,10,-1,5,axe,a,outdoor,0,axe,small
19593,92,269,axe07,19,-1,5,axe,a,outdoor,0,axe,small
19594,93,236,axe22,4,-1,5,axe,a,outdoor,0,axe,small
19595,94,194,axe06,20,-1,5,axe,a,outdoor,0,axe,small
19596,95,524,axe19,7,-1,5,axe,a,outdoor,0,axe,small
19597,96,518,package04,22,-1,5,package,a,outdoor,0,package,small
19598,97,51,package01,25,-1,5,package,a,outdoor,0,package,small
19599,98,387,package12,14,-1,5,package,a,outdoor,0,package,small
19600,99,203,package10,16,-1,5,package,a,outdoor,0,package,small
19601,100,516,package24,2,1,5,package,a,outdoor,1,package,small
19602,1,255,soap14,12,-1,5,soap,a,indoor,0,soap,small
19603,2,981,soap02,24,1,5,soap,a,indoor,1,soap,small
19604,3,226,soap07,19,1,5,soap,a,indoor,1,soap,small
19605,4,854,soap01,25,-1,5,soap,a,indoor,0,soap,small
19606,5,416,soap08,18,-1,5,soap,a,indoor,0,soap,small
19607,6,726,microwave12,14,1,5,microwave,a,indoor,1,microwave,big
19608,7,381,microwave15,11,-1,5,microwave,a,indoor,0,microwave,big
19609,8,620,microwave09,17,1,5,microwave,a,indoor,1,microwave,big
19610,9,948,microwave19,7,-1,5,microwave,a,indoor,0,microwave,big
19611,10,997,microwave03,23,1,5,microwave,a,indoor,1,microwave,big
19612,11,394,lamp22,4,-1,5,lamp,a,indoor,0,lamp,small
19613,12,745,lamp16,10,1,5,lamp,a,indoor,1,lamp,small
19614,13,632,lamp11,15,1,5,lamp,a,indoor,1,lamp,small
19615,14,258,lamp13,13,-1,5,lamp,a,indoor,0,lamp,small
19616,15,1046,lamp05,21,-1,5,lamp,a,indoor,0,lamp,small
19617,16,273,firealarm21,5,-1,5,firealarm,a,indoor,0,firealarm,small
19618,17,456,firealarm04,22,-1,5,firealarm,a,indoor,0,firealarm,small
19619,18,444,firealarm17,9,-1,5,firealarm,a,indoor,0,firealarm,small
19620,19,1132,firealarm20,6,1,5,firealarm,a,indoor,1,firealarm,small
19621,20,237,firealarm14,12,1,5,firealarm,a,indoor,1,firealarm,small
19622,21,527,candle03,23,1,5,candle,a,indoor,1,candle,small
19623,22,362,candle21,5,1,5,candle,a,indoor,1,candle,small
19624,23,188,candle14,12,-1,5,candle,a,indoor,0,candle,small
19625,24,917,candle08,18,-1,5,candle,a,indoor,0,candle,small
19626,25,101,candle10,16,1,5,candle,a,indoor,1,candle,small
19627,26,643,vase07,19,-1,5,vase,a,indoor,0,vase,small
19628,27,378,vase02,24,-1,5,vase,a,indoor,0,vase,small
19629,28,500,vase18,8,1,5,vase,a,indoor,1,vase,small
19630,29,1033,vase06,20,1,5,vase,a,indoor,1,vase,small
19631,30,961,vase23,3,1,5,vase,a,indoor,1,vase,small
19632,31,758,kettle09,17,-1,5,kettle,a,indoor,0,kettle,small
19633,32,1047,kettle21,5,1,5,kettle,a,indoor,1,kettle,small
19634,33,622,kettle16,10,-1,5,kettle,a,indoor,0,kettle,small
19635,34,790,kettle08,18,1,5,kettle,a,indoor,1,kettle,small
19636,35,314,kettle24,2,1,5,kettle,a,indoor,1,kettle,small
19637,36,778,dvdplayer18,8,1,5,dvdplayer,a,indoor,1,dvdplayer,big
19638,37,1267,dvdplayer07,19,1,5,dvdplayer,a,indoor,1,dvdplayer,big
19639,38,846,dvdplayer08,18,-1,5,dvdplayer,a,indoor,0,dvdplayer,big
19640,39,200,dvdplayer22,4,-1,5,dvdplayer,a,indoor,0,dvdplayer,big
19641,40,860,dvdplayer25,1,1,5,dvdplayer,a,indoor,1,dvdplayer,big
19642,41,965,mouse20,6,1,5,mouse,a,indoor,1,mouse,small
19643,42,444,mouse23,3,1,5,mouse,a,indoor,1,mouse,small
19644,43,962,mouse12,14,-1,5,mouse,a,indoor,0,mouse,small
19645,44,946,mouse19,7,-1,5,mouse,a,indoor,0,mouse,small
19646,45,706,mouse21,5,1,5,mouse,a,indoor,1,mouse,small
19647,46,1001,pottedplant20,6,1,5,pottedplant,a,indoor,1,pottedplant,small
19648,47,579,pottedplant17,9,1,5,pottedplant,a,indoor,1,pottedplant,small
19649,48,451,pottedplant01,25,-1,5,pottedplant,a,indoor,0,pottedplant,small
19650,49,784,pottedplant11,15,1,5,pottedplant,a,indoor,1,pottedplant,small
19651,50,404,pottedplant13,13,1,5,pottedplant,a,indoor,1,pottedplant,small
19652,51,670,pitchfork06,20,-1,5,pitchfork,a,outdoor,0,pitchfork,small
19653,52,700,pitchfork11,15,1,5,pitchfork,a,outdoor,1,pitchfork,small
19654,53,416,pitchfork02,24,-1,5,pitchfork,a,outdoor,0,pitchfork,small
19655,54,949,pitchfork25,1,1,5,pitchfork,a,outdoor,1,pitchfork,small
19656,55,216,pitchfork24,2,1,5,pitchfork,a,outdoor,1,pitchfork,small
19657,56,102,bird21,5,1,5,bird,a,outdoor,1,bird,small
19658,57,307,bird22,4,1,5,bird,a,outdoor,1,bird,small
19659,58,269,bird12,14,1,5,bird,a,outdoor,1,bird,small
19660,59,566,bird03,23,-1,5,bird,a,outdoor,0,bird,small
19661,60,346,bird07,19,-1,5,bird,a,outdoor,0,bird,small
19662,61,934,mailbox01,25,-1,5,mailbox,a,outdoor,0,mailbox,small
19663,62,265,mailbox16,10,1,5,mailbox,a,outdoor,1,mailbox,small
19664,63,437,mailbox04,22,-1,5,mailbox,a,outdoor,0,mailbox,small
19665,64,307,mailbox02,24,1,5,mailbox,a,outdoor,1,mailbox,small
19666,65,300,mailbox24,2,1,5,mailbox,a,outdoor,1,mailbox,small
19667,66,215,frog17,9,1,5,frog,a,outdoor,1,frog,small
19668,67,829,frog22,4,-1,5,frog,a,outdoor,0,frog,small
19669,68,84,frog15,11,-1,5,frog,a,outdoor,0,frog,small
19670,69,737,frog19,7,1,5,frog,a,outdoor,1,frog,small
19671,70,401,frog06,20,-1,5,frog,a,outdoor,0,frog,small
19672,71,296,cactus09,17,-1,5,cactus,a,outdoor,0,cactus,big
19673,72,414,cactus24,2,-1,5,cactus,a,outdoor,0,cactus,big
19674,73,278,cactus23,3,-1,5,cactus,a,outdoor,0,cactus,big
19675,74,318,cactus21,5,-1,5,cactus,a,outdoor,0,cactus,big
19676,75,167,cactus08,18,-1,5,cactus,a,outdoor,0,cactus,big
19677,76,310,bottle21,5,-1,5,bottle,a,outdoor,0,bottle,big
19678,77,795,bottle14,12,1,5,bottle,a,outdoor,1,bottle,big
19679,78,500,bottle19,7,1,5,bottle,a,outdoor,1,bottle,big
19680,79,138,bottle11,15,-1,5,bottle,a,outdoor,0,bottle,big
19681,80,757,bottle18,8,1,5,bottle,a,outdoor,1,bottle,big
19682,81,297,ashtray13,13,-1,5,ashtray,a,outdoor,0,ashtray,small
19683,82,492,ashtray16,10,1,5,ashtray,a,outdoor,1,ashtray,small
19684,83,77,ashtray05,21,1,5,ashtray,a,outdoor,1,ashtray,small
19685,84,279,ashtray18,8,1,5,ashtray,a,outdoor,1,ashtray,small
19686,85,425,ashtray23,3,-1,5,ashtray,a,outdoor,0,ashtray,small
19687,86,936,mug06,20,-1,5,mug,a,outdoor,0,mug,small
19688,87,122,mug12,14,1,5,mug,a,outdoor,1,mug,small
19689,88,155,mug03,23,1,5,mug,a,outdoor,1,mug,small
19690,89,566,mug25,1,-1,5,mug,a,outdoor,0,mug,small
19691,90,1462,mug17,9,1,5,mug,a,outdoor,1,mug,small
19692,91,208,axe16,10,-1,5,axe,a,outdoor,0,axe,small
19693,92,222,axe07,19,-1,5,axe,a,outdoor,0,axe,small
19694,93,341,axe22,4,1,5,axe,a,outdoor,1,axe,small
19695,94,346,axe06,20,-1,5,axe,a,outdoor,0,axe,small
19696,95,228,axe19,7,1,5,axe,a,outdoor,1,axe,small
19697,96,529,package04,22,1,5,package,a,outdoor,1,package,small
19698,97,219,package01,25,1,5,package,a,outdoor,1,package,small
19699,98,375,package12,14,-1,5,package,a,outdoor,0,package,small
19700,99,420,package10,16,-1,5,package,a,outdoor,0,package,small
