,block,RT,image,position,response,order,environment,condition,location,binary,label,group
19701,100,415,package24,2,1,5,package,a,outdoor,1,package,small
19702,1,472,soap14,12,-1,5,soap,a,indoor,0,soap,small
19703,2,957,soap02,24,1,5,soap,a,indoor,1,soap,small
19704,3,532,soap07,19,-1,5,soap,a,indoor,0,soap,small
19705,4,744,soap01,25,-1,5,soap,a,indoor,0,soap,small
19706,5,599,soap08,18,-1,5,soap,a,indoor,0,soap,small
19707,6,198,microwave12,14,-1,5,microwave,a,indoor,0,microwave,big
19708,7,1244,microwave15,11,-1,5,microwave,a,indoor,0,microwave,big
19709,8,149,microwave09,17,-1,5,microwave,a,indoor,0,microwave,big
19710,9,1936,microwave19,7,-1,5,microwave,a,indoor,0,microwave,big
